"X1","X2","value"
1,1,0.033
2,1,0.03
3,1,0.033
4,1,0.022
5,1,0.021
6,1,0.019
7,1,0.002
8,1,0
1,2,0.03
2,2,0
3,2,0.03
4,2,0.024
5,2,0.021
6,2,0.02
7,2,0.011
8,2,0.002
1,3,0.033
2,3,0.03
3,3,0.033
4,3,0.021
5,3,0.018
6,3,0.02
7,3,0.02
8,3,0.019
1,4,0.022
2,4,0.024
3,4,0.021
4,4,0.008
5,4,0.001
6,4,0.008
7,4,0.02
8,4,0.021
1,5,0.021
2,5,0.02
3,5,0.017
4,5,0.001
5,5,0
6,5,0.001
7,5,0.018
8,5,0.021
1,6,0.014
2,6,0.004
3,6,0.004
4,6,0.005
5,6,0.001
6,6,0.008
7,6,0.02
8,6,0.021
1,7,0.004
2,7,0
3,7,0
4,7,0.004
5,7,0.018
6,7,0.02
7,7,0.021
8,7,0.021
1,8,0.014
2,8,0.004
3,8,0.004
4,8,0.014
5,8,0.021
6,8,0.021
7,8,0.021
8,8,0.021
