"X1","X2","value"
1,1,42.4981338292894
2,1,42.5100025898433
3,1,43.3597221277895
4,1,52.8576971803341
5,1,68.3266208946264
6,1,54.4321362440492
7,1,33.2191297857441
8,1,36.5280298461879
1,2,42.3835954366669
2,2,42.2571658586968
3,2,42.7893627504724
4,2,46.8517509123169
5,2,52.8594145661219
6,2,42.6864492710874
7,2,26.4071869235181
8,2,30.6192585548995
1,3,41.125710496888
2,3,39.5224225655052
3,3,41.3745259089865
4,3,40.4838692140118
5,3,35.152831977608
6,3,28.0973809112957
7,3,18.1917666624519
8,3,17.7725255069642
1,4,39.3238828311313
2,4,35.1737137378119
3,4,38.6232227483265
4,4,36.1774057469101
5,4,20.6128222476228
6,4,11.0708407964866
7,4,12.659637415062
8,4,6.35816213250852
1,5,40.964490922079
2,5,37.894750791671
3,5,37.7877437974123
4,5,36.9769202209543
5,5,19.943813569165
6,5,1.24206234265714
7,5,9.72203419416615
8,5,4.82741998934628
1,6,42.2218442671976
2,6,39.0089634524435
3,6,34.9753110690099
4,6,32.69990778035
5,6,15.362366034529
6,6,3.86506361677244
7,6,18.4770150979692
8,6,20.4561310717059
1,7,42.0871907800591
2,7,35.4188134408677
3,7,26.6486727222748
4,7,23.1992573260113
5,7,6.45616736548887
6,7,11.0801236625595
7,7,21.9497125428516
8,7,21.3045574257168
1,8,41.6374816908468
2,8,37.7875591149381
3,8,34.7114202035905
4,8,33.7320265229982
5,8,24.500325762195
6,8,21.2850953479333
7,8,24.6509892862846
8,8,30.3339871461926
